host_response_time,host_response_rate,host_is_superhost,host_verifications,host_has_profile_pic,host_identity_verified,property_type,room_type,has_availability,instant_bookable,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,number_of_reviews_l30d
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,3.5,4,2.3,1.0,1125,2.8,156.8,1,38,59,322,7.0,0
1,0,1,1.0,1,1,0,1,1,1,6.1,8.6,1,2.1,2,2.6,1.0,1125,2.2,449.2,1,49,61,223,3.0,1
1,0,1,1.0,1,1,1,1,1,1,6.1,8.6,1,2.5,3,4.0,1.0,1125,2.9,85.2,1,49,74,344,6.0,1
1,1,1,1.0,1,1,0,1,1,1,2.0,2.0,0,1.0,2,2.0,2.0,1125,2.0,1125.0,1,50,75,279,58.0,2
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.0,3,4.0,3.0,1125,5.2,1125.0,1,53,83,308,3.0,0
1,1,1,,1,1,0,1,1,0,7.0,10.0,0,1.0,2,2.0,1.0,360,2.1,1125.0,1,37,48,315,40.0,1
1,1,1,1.0,1,0,0,0,1,0,2.0,3.0,0,1.0,1,2.0,1.0,9,1.0,9.0,0,12,12,12,15.6,4
0,0,0,1.0,1,1,0,1,1,0,3.0,4.0,1,1.0,2,2.0,1.0,7,1.0,1125.0,1,42,72,72,15.6,1
1,1,1,1.0,1,1,1,1,1,1,5.0,5.0,0,1.5,2,2.0,2.0,1125,2.6,1125.0,0,0,0,183,6.0,1
1,0,0,1.0,1,0,0,1,1,1,6.1,8.6,0,1.0,2,2.0,28.0,1125,28.0,1125.0,0,39,69,344,5.0,1
1,1,0,,1,1,0,1,1,0,1.0,3.0,1,1.6,4,3.0,3.0,1125,3.0,1125.0,0,23,53,281,2.0,0
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,1.0,2,3.0,3.0,1125,4.7,1125.0,1,50,80,303,3.0,0
1,0,1,1.0,1,1,1,1,1,0,22.0,38.0,1,2.5,2,4.0,4.0,1125,6.4,1125.0,0,0,0,138,1.0,0
1,1,1,1.0,1,1,1,1,1,0,1.0,1.0,0,1.0,1,1.0,1.0,30,1.0,1125.0,0,10,10,98,42.0,5
1,1,1,,1,1,0,1,1,0,1.0,1.0,1,2.0,3,2.3,3.0,140,3.0,1125.0,1,54,84,122,19.0,1
